EPA AQS ID,Country Code,Data Source,EPA Region,Elevation,GMT Offset Amount (hours),Latitude,Local Time at Monitor,Longitude,OZONE,Ozone & PM AQI,Ozone & PM AQI (For Labeling),Ozone & PM AQI (For Sorting),Ozone AQI,Ozone AQI (For Labeling),Ozone AQI (For Sorting),Ozone Measured at Site,Ozone Unit of Measure,PM10,PM10 AQI,PM10 AQI (For Labeling),PM10 AQI (For Sorting),PM10 Measured at Site,PM10 Unit of Measure,PM2.5,PM2.5 AQI,PM2.5 AQI (For Labeling),PM2.5 AQI (For Sorting),PM2.5 Measured at Site,PM2.5 Unit of Measure,PM2.5 & PM10 AQI,PM2.5 & PM10 AQI (For Labeling),PM2.5 & PM10 AQI (For Sorting),Reporting Area(s),Site Name,State Name,Site Operational Status,ValidTime,ObjectId,MonitorType,x,y
60850005,US,Bay Area Air District,R9,9.5,-8,37.3483,2026-01-27 06:00:00 GMT-8,-121.8947,0,54,54,54,0,0,0,1,PPB,,,ND,-999,0,,10,54,54,54,1,UG/M3,54,54,54,San Jose,San Jose - Jackson St.,CA,Active,1/27/2026 14:00,556339060,Permanent,-13569255.93,4487767.154
60850006,US,Bay Area Air District,R9,0,-8,37.338202,2026-01-27 06:00:00 GMT-8,-121.849892,,61,61,61,,ND,-999,0,,,,ND,-999,0,,8,61,61,61,1,UG/M3,61,61,61,San Jose,San Jose - Knox Ave,CA,Active,1/27/2026 14:00,556339061,Permanent,-13564267.93,4486353.214
60851001,US,Bay Area Air District,R9,35.4,-8,37.2267,2026-01-27 06:00:00 GMT-8,-121.9786,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,San Jose,Los Gatos,CA,Active,1/27/2026 14:00,556339062,Permanent,-13578595.64,4470753.128
60852006,US,Bay Area Air District,R9,86,-8,37.0792,2026-01-27 06:00:00 GMT-8,-121.5994,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,San Jose,San Martin,CA,Active,1/27/2026 14:00,556339063,Permanent,-13536383.29,4450152.003
60870007,US,Monterey Bay Unified APCD,R9,0,-8,36.98332,2026-01-27 06:00:00 GMT-8,-121.98822,15,29,29,29,14,14,14,1,PPB,,,ND,-999,0,,4,29,29,29,1,UG/M3,29,29,29,Santa Cruz,Santa Cruz AMS,CA,Active,1/27/2026 14:00,556339066,Permanent,-13579666.53,4436782.065
60871005,US,Monterey Bay Unified APCD,R9,98.2,-8,37.060738,2026-01-27 06:00:00 GMT-8,-122.083493,,64,64,64,,ND,-999,0,,,,ND,-999,0,,17,64,64,64,1,UG/M3,64,64,64,San Lorenzo Valley,SLV Middle School AMS,CA,Active,1/27/2026 14:00,556339069,Permanent,-13590272.28,4447576.266
60890004,US,Shasta County Air Quality Management District,R9,152.5,-8,40.5497,2026-01-27 06:00:00 GMT-8,-122.3792,2,52,52,52,2,2,2,1,PPB,,,ND,-999,0,,9,52,52,52,1,UG/M3,52,52,52,Redding,Redding,CA,Active,1/27/2026 14:00,556339075,Permanent,-13623190.23,4946147.696
60890009,US,Shasta County Air Quality Management District,R9,246.1,-8,40.6894,2026-01-27 06:00:00 GMT-8,-122.4024,24,22,22,22,22,22,22,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Redding,Shasta Lake City,CA,Active,1/27/2026 14:00,556339077,Permanent,-13625772.84,4966635.619
60932001,US,Siskiyou County APCD,R9,799.1,-8,41.72679,2026-01-27 06:00:00 GMT-8,-122.63359,2,59,59,59,6,6,6,1,PPB,,,ND,-999,0,,15,59,59,59,1,UG/M3,59,59,59,Yreka,Yreka,CA,Active,1/27/2026 14:00,556339079,Permanent,-13651508.79,5120141.363
60950004,US,Bay Area Air District,R9,5.8,-8,38.102507,2026-01-27 06:00:00 GMT-8,-122.237976,21,57,57,57,18,18,18,1,PPB,,,ND,-999,0,,11,57,57,57,1,UG/M3,57,57,57,Napa,Vallejo,CA,Active,1/27/2026 14:00,556339080,Permanent,-13607469.24,4593916.752
60950005,US,Bay Area Air District,R9,9.8,-8,38.227066,2026-01-27 06:00:00 GMT-8,-122.075624,10,8,8,8,8,8,8,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Fairfield,Fairfield,CA,Active,1/27/2026 14:00,556339081,Permanent,-13589396.3,4611552.47
60953003,US,Yolo-Solano AQMD,R9,0,-8,38.356556,2026-01-27 06:00:00 GMT-8,-121.949853,2,59,59,59,4,4,4,1,PPB,,,ND,-999,0,,15,59,59,59,1,UG/M3,59,59,59,Vacaville,Vacaville,CA,Active,1/27/2026 14:00,556339082,Permanent,-13575395.54,4629918.391
60959999,US,Yolo-Solano AQMD,R9,6.7,-8,38.167297,2026-01-27 06:00:00 GMT-8,-121.688561,,77,77,77,,ND,-999,0,,,,ND,-999,0,,23,77,77,77,1,UG/M3,77,77,77,Rio Vista,Rio Vista,CA,Active,1/27/2026 14:00,556339083,Permanent,-13546308.65,4603086.3
60970004,US,Bay Area Air District,R9,0,-8,38.403765,2026-01-27 06:00:00 GMT-8,-122.818294,,66,66,66,5,5,5,1,,,,ND,-999,0,,15,66,66,66,1,UG/M3,66,66,66,Santa Rosa,Sebastopol,CA,Active,1/27/2026 14:00,556339085,Permanent,-13672069.95,4636622.339
61010004,US,California Air Resources Board,R9,645.4,-8,39.20556,2026-01-27 06:00:00 GMT-8,-121.82046,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Yuba City and Marysville,Sutter Buttes (seasonal),CA,Active,1/27/2026 14:00,556339090,Permanent,-13560991.58,4751159.198
61030004,US,California Air Resources Board,R9,562.1,-8,40.26207,2026-01-27 06:00:00 GMT-8,-122.09265,,,ND,-999,,ND,-999,1,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Tuscan Butte (Seasonal),CA,Active,1/27/2026 14:00,556339091,Permanent,-13591291.63,4904098.981
61050002,US,North Coast Unified Air Quality Management District,R9,600.2,-8,40.734722,2026-01-27 06:00:00 GMT-8,-122.941109,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Weaverville,Weaverville,CA,Active,1/27/2026 14:00,556339094,Permanent,-13685741.65,4973291.611
61072010,US,San Joaquin Valley Unified APCD,R9,0,-8,36.0319,2026-01-27 06:00:00 GMT-8,-119.055,0,62,62,62,2,2,2,1,PPB,,,ND,-999,0,,15,62,62,62,1,UG/M3,62,62,62,Visalia,Porterville-NFS,CA,Active,1/27/2026 14:00,556339098,Permanent,-13253141.98,4305011.651
61090005,US,California Air Resources Board,R9,0,-8,37.98178,2026-01-27 06:00:00 GMT-8,-120.378551,13,14,14,14,14,14,14,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Tuolumne County,Sonora - Barretta Street,CA,Active,1/27/2026 14:00,556339099,Permanent,-13400479,4576852.258
61110007,US,Ventura County APCD,R9,0,-8,34.21017,2026-01-27 06:00:00 GMT-8,-118.87051,37,28,28,28,28,28,28,1,PPB,,,ND,-999,0,,2,14,14,14,1,UG/M3,14,14,14,Thousand Oaks,Thousand Oaks - Moorpark Road,CA,Active,1/27/2026 14:00,556339100,Permanent,-13232604.64,4057057.755
61110009,US,Ventura County APCD,R9,0,-8,34.40428,2026-01-27 06:00:00 GMT-8,-118.80998,28,25,25,25,25,25,25,1,PPB,,,ND,-999,0,,3,14,14,14,1,UG/M3,14,14,14,Piru,Piru - Pacific,CA,Active,1/27/2026 14:00,556339101,Permanent,-13225866.47,4083216.997
61111004,US,Ventura County APCD,R9,233.3,-8,34.44806,2026-01-27 06:00:00 GMT-8,-119.2313,10,9,9,9,9,9,9,1,PPB,,,ND,-999,0,,,,ND,-999,1,,,ND,-999,Ojai,Ojai - Ojai Ave.,CA,Active,1/27/2026 14:00,556339102,Permanent,-13272767.6,4089125.388
61130004,US,California Air Resources Board,R9,0,-8,38.53455,2026-01-27 06:00:00 GMT-8,-121.7734,10,59,59,59,12,12,12,1,PPB,,,ND,-999,0,,10.3,59,59,59,1,UG/M3,59,59,59,Davis,Davis - UCD Campus,CA,Active,1/27/2026 14:00,556339106,Permanent,-13555752.88,4655217.466
61131003,US,Yolo-Solano AQMD,R9,0,-8,38.661239,2026-01-27 06:00:00 GMT-8,-121.732683,6,6,6,6,6,6,6,1,PPB,,,ND,-999,0,,17,,ND,-999,1,UG/M3,,ND,-999,Woodland,Woodland,CA,Active,1/27/2026 14:00,556339107,Permanent,-13551220.28,4673262.48
40070010,US,Arizona Department of Environmental Quality,R9,786.3,-7,33.654725,2026-01-27 07:00:00 GMT-7,-111.107406,30,28,28,28,28,28,28,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,,Tonto National Monument,AZ,Active,1/27/2026 14:00,556339758,Permanent,-12368419.86,3982533.72
40070011,US,Arizona Department of Environmental Quality,R9,0,-7,33.3855,2026-01-27 07:00:00 GMT-7,-110.867267,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Miami,Miami Jones Ranch,AZ,Active,1/27/2026 14:00,556339759,Permanent,-12341687.71,3946585.143
40070012,US,Arizona Department of Environmental Quality,R9,0,-7,33.397433,2026-01-27 07:00:00 GMT-7,-110.87445,,,ND,-999,,ND,-999,0,,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Miami,Miami Town Site,AZ,Active,1/27/2026 14:00,556339760,Permanent,-12342487.32,3948176.146
40131010,US,Maricopa County Air Quality Department,R9,384.3,-7,33.4522,2026-01-27 07:00:00 GMT-7,-111.7331,30,28,28,28,28,28,28,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,Phoenix,Falcon Field Fire Station,AZ,Active,1/27/2026 14:00,556339786,Permanent,-12438071.8,3955480.922
40132005,US,Maricopa County Air Quality Department,R9,733.8,-7,33.712299,2026-01-27 07:00:00 GMT-7,-111.852699,37,31,31,31,31,31,31,1,PPB,,,ND,-999,0,,,,ND,-999,0,,,ND,-999,McDowell,Pinnacle Peak Club House,AZ,Active,1/27/2026 14:00,556339790,Permanent,-12451385.5,3990235.923
